income_group,mean_rate,mean_ltv,mean_dti,mean_upb,mean_fico,n_loans
Q1_LOW_INCOME,2.754511079679397,69.36382209649537,31.524438158101525,285020.744931636,761.073550212164,6363
Q2_LOWER_MID,2.806659609533469,71.21031947261663,33.577586206896555,263340.1369168357,758.322261663286,7888
Q3_MIDDLE,2.798549989037492,71.52335014251261,31.93466345099759,231398.7064240298,757.0285025213769,9122
Q4_UPPER_MID,2.7477185452902644,67.859724418342,32.25954370905805,273771.4027558166,763.2595437090581,4427
Q5_HIGH_INCOME,2.7516166216216216,64.72567567567567,33.458423423423426,345307.74774774775,763.2935135135135,22200
